Country_Code,year,GDP_PC_Constant_USD
GMB,1977,865.4601010715893
GMB,1978,889.6183227352716
GMB,1979,849.0077777806813
GMB,1980,873.247577747545
GMB,1981,874.3572812622009
GMB,1982,841.3980414230962
GMB,1983,903.5411582779108
GMB,1984,902.618356224212
GMB,1985,859.6392780462356
GMB,1986,854.8146540168742
GMB,1987,833.7703155513088
GMB,1988,828.7897686604085
GMB,1989,837.212062509135
GMB,1990,830.7536242443516
GMB,1991,824.5695839187066
GMB,1992,823.5562666750244
GMB,1993,821.6633069948776
GMB,1994,797.8497482591112
GMB,1995,780.3783104877781
GMB,1996,773.39190988756
GMB,1997,786.6661640706714
GMB,1998,789.474110000342
GMB,1999,814.3439654566652
GMB,2000,832.6815369058171
GMB,2001,853.531591317315
GMB,2002,799.8071403476724
GMB,2003,827.8342323403359
GMB,2004,858.6002969283594
GMB,2005,812.7663385875404
GMB,2006,784.023225291556
GMB,2007,784.0369193051985
GMB,2008,808.7052436136524
GMB,2009,837.3348982591027
GMB,2010,860.6378736881254
GMB,2011,767.155353643339
GMB,2012,783.2666928108923
GMB,2013,781.6818047779379
GMB,2014,747.7087319495031
GMB,2015,754.9924336800378
GMB,2016,747.0027350903289
GMB,2017,760.1247056505816
GMB,2018,791.4500446952635
GMB,2019,815.2155451927832
GNB,1970,492.74815358727267
GNB,1971,464.62845594986175
GNB,1972,484.69451407594505
GNB,1973,481.10900896798086
GNB,1974,495.4080477628123
GNB,1975,528.4760090016745
GNB,1976,551.4105318603208
GNB,1977,511.0011407385316
GNB,1978,577.7721629892881
GNB,1979,587.3282596019998
GNB,1980,489.2442299788375
GNB,1981,569.294279251029
GNB,1982,581.0548711132415
GNB,1983,547.9206810699949
GNB,1984,583.0357126389222
GNB,1985,592.7832600166663
GNB,1986,574.6630395557579
GNB,1987,578.2209534933831
GNB,1988,591.6660703180679
GNB,1989,614.103926316944
GNB,1990,637.2196581417503
GNB,1991,654.7722362940838
GNB,1992,647.1645585553874
GNB,1993,646.1438734086322
GNB,1994,652.4859877412053
GNB,1995,667.1141946996272
GNB,1996,729.7687362670058
GNB,1997,762.3275046256337
GNB,1998,537.7336813838793
GNB,1999,532.7445553318134
GNB,2000,550.3560879053774
GNB,2001,550.5760137396998
GNB,2002,533.2675847566178
GNB,2003,524.241877168948
GNB,2004,526.3373447076823
GNB,2005,535.963310582685
GNB,2006,535.344021848271
GNB,2007,539.511292818239
GNB,2008,543.1753331385734
GNB,2009,547.4806702787047
GNB,2010,558.1761345081577
GNB,2011,587.7131718977794
GNB,2012,562.5348999978079
GNB,2013,565.5992063788951
GNB,2014,556.1470730762853
GNB,2015,575.0521499266922
GNB,2016,595.5587939437705
GNB,2017,615.0388505520384
GNB,2018,622.6866996919745
GNB,2019,635.5257101291373
GNQ,1980,660.1251562342059
GNQ,1981,660.061371908983
GNQ,1982,626.5855923406466
GNQ,1983,607.6135258630663
GNQ,1984,570.5414238661829
GNQ,1985,606.5470157704993
GNQ,1986,565.2726529474786
GNQ,1987,568.8365289265165
GNQ,1988,566.2284794640553
GNQ,1989,543.2326377401507
GNQ,1990,517.6788840595846
GNQ,1991,496.2111129278611
GNQ,1992,647.0751518115519
GNQ,1993,694.597399043992
GNQ,1994,782.5354506217183
GNQ,1995,886.6696831353956
GNQ,1996,1422.3692727188472
GNQ,1997,3418.959969364603
GNQ,1998,4064.8593528459573
GNQ,1999,4903.67964787872
GNQ,2000,5563.386051756281
GNQ,2001,8722.732948581592
GNQ,2002,9997.550878195247
GNQ,2003,10923.528635003859
GNQ,2004,14437.568139449782
GNQ,2005,16122.87357678001
GNQ,2006,16591.252207637284
GNQ,2007,18261.03606648456
GNQ,2008,20532.9522638923
GNQ,2009,19868.070762337236
GNQ,2010,17288.859599219304
GNQ,2011,17610.30663334184
GNQ,2012,18254.096446175547
GNQ,2013,16764.428711951034
GNQ,2014,16146.072428619284
GNQ,2015,14093.812493386646
GNQ,2016,12358.304036212032
GNQ,2017,11225.372533673732
GNQ,2018,10134.628300673236
GNQ,2019,9237.716186239197
GRC,1960,6259.79312797036
GRC,1961,7030.360828461349
GRC,1962,7014.095221938858
GRC,1963,7815.863283080691
GRC,1964,8520.358770622794
GRC,1965,9393.785982762225
GRC,1966,9930.328319203132
GRC,1967,10408.21502835857
GRC,1968,11085.642751599718
GRC,1969,12322.438475293502
GRC,1970,13392.308072373004
GRC,1971,14379.900750026987
GRC,1972,15738.282486088556
GRC,1973,16934.802371405625
GRC,1974,15786.269485427996
GRC,1975,16634.474736178036
GRC,1976,17500.31286143766
GRC,1977,17782.120794387953
GRC,1978,18825.090576282553
GRC,1979,19202.055031361026
GRC,1980,19143.12402302476
GRC,1981,18677.475061981942
GRC,1982,18352.439863591408
GRC,1983,18049.18364577002
GRC,1984,18320.58414078481
GRC,1985,18707.56893540609
GRC,1986,18742.316040885802
GRC,1987,18257.80402987853
GRC,1988,18971.643468966133
GRC,1989,19590.067707120892
GRC,1990,19383.93456989814
GRC,1991,19746.38209871505
GRC,1992,19733.29037447901
GRC,1993,19303.666928201077
GRC,1994,19591.399429542424
GRC,1995,19909.529532127046
GRC,1996,20389.31804741981
GRC,1997,21198.790641393116
GRC,1998,21902.738783476856
GRC,1999,22489.31589234187
GRC,2000,23275.444221483114
GRC,2001,24111.41744539591
GRC,2002,24965.59402334832
GRC,2003,26349.27726051226
GRC,2004,27614.405906254186
GRC,2005,27698.510605717318
GRC,2006,29176.39282880233
GRC,2007,30054.889337734992
GRC,2008,29874.74342686984
GRC,2009,28514.81000446356
GRC,2010,26917.758954907662
GRC,2011,24495.7111078528
GRC,2012,22830.526722668215
GRC,2013,22251.257305343002
GRC,2014,22565.68043528061
GRC,2015,22615.39456075268
GRC,2016,22666.286196898407
GRC,2017,23052.986213203654
GRC,2018,23546.639466172546
GRC,2019,24024.23400070511
GRD,1977,2944.4747401258937
GRD,1978,3140.9488710265996
GRD,1979,3335.663326635494
GRD,1980,3301.72602197799
GRD,1981,3294.1070510972318
GRD,1982,3337.329595305595
GRD,1983,3354.2119728532734
GRD,1984,3387.1966742045834
GRD,1985,3536.9793614745654
GRD,1986,3782.1680232372983
GRD,1987,4157.577796429142
GRD,1988,4338.340863713545
GRD,1989,4557.348095572946
GRD,1990,4769.396891238854
GRD,1991,4829.012381323322
GRD,1992,4753.170666171384
GRD,1993,4609.54085406109
GRD,1994,4634.668034257518
GRD,1995,4689.185098573259
GRD,1996,4862.730437994694
GRD,1997,5078.16287907923
GRD,1998,5649.770679828453
GRD,1999,6015.279290012956
GRD,2000,6284.69996784302
GRD,2001,6132.694756136059
GRD,2002,6319.929249860074
GRD,2003,6893.368063781741
GRD,2004,6826.29001746957
GRD,2005,7709.362196781549
GRD,2006,7382.162614020162
GRD,2007,7815.065204622785
GRD,2008,7869.216937358049
GRD,2009,7325.671099407298
GRD,2010,7257.756622323188
GRD,2011,7274.723135724265
GRD,2012,7147.1891873790955
GRD,2013,7266.287340422832
GRD,2014,7747.500730761961
GRD,2015,8194.238167667803
GRD,2016,8449.307768584582
GRD,2017,8775.89864433273
GRD,2018,9091.761530845542
GRD,2019,9220.3861385417
GRL,1970,15656.472901641118
GRL,1971,17401.318815786453
GRL,1972,18055.461814735994
GRL,1973,19008.827909677013
GRL,1974,19890.555063983942
GRL,1975,19978.734734742036
GRL,1976,21126.715011238422
GRL,1977,23130.199327442366
GRL,1978,24621.560440794714
GRL,1979,25610.103161162486
GRL,1980,27499.383484289607
GRL,1981,27248.098615227143
GRL,1982,25790.972400525538
GRL,1983,26375.336720802647
GRL,1984,24724.46101955726
GRL,1985,25387.614036633386
GRL,1986,27036.990708914007
GRL,1987,28211.92115847966
GRL,1988,29412.24233643386
GRL,1989,31087.32042277914
GRL,1990,27295.952344425354
GRL,1991,27314.107194087974
GRL,1992,26011.627562640264
GRL,1993,24748.533678432013
GRL,1994,26073.02709975136
GRL,1995,26899.801857584334
GRL,1996,27262.41390433241
GRL,1997,27613.48069659398
GRL,1998,29702.688972125008
GRL,1999,30111.957703289947
GRL,2000,32193.002521368213
GRL,2001,32514.759849498612
GRL,2002,32051.665664368033
GRL,2003,33379.583469000034
GRL,2004,35593.42549811981
GRL,2005,37352.892536691295
GRL,2006,39539.91570556738
GRL,2007,40626.78142727926
GRL,2008,43305.70276085341
GRL,2009,43684.58719979599
GRL,2010,43988.33249319461
