,Country_Code,year,Tax_Revenue_real_USD,Tax_Revenue_real_USD_lag
2638,GNB,2005,40980246.97512858,28588741.26913092
2639,GNB,2006,46725269.41156829,40980246.97512858
2640,GNB,2007,44184238.09475184,46725269.41156829
2641,GNB,2008,40339568.01503251,44184238.09475184
2642,GNB,2009,53115496.81903004,40339568.01503251
2643,GNB,2010,63588909.2580452,53115496.81903004
2644,GNB,2011,67880471.10176817,63588909.2580452
2645,GNB,2012,66089928.033296205,67880471.10176817
2646,GNB,2013,60715475.58485014,66089928.033296205
2647,GNB,2014,75939364.62953226,60715475.58485014
2648,GNB,2015,94819843.50881585,75939364.62953226
2649,GNB,2016,92537511.28289753,94819843.50881585
2650,GNB,2017,113056757.93373814,92537511.28289753
2651,GNB,2018,,113056757.93373814
2652,GNQ,1980,25007171.408408914,
2653,GNQ,1981,33141446.21415015,25007171.408408914
2654,GNQ,1982,40982309.87852202,33141446.21415015
2655,GNQ,1983,23873915.858875044,40982309.87852202
2656,GNQ,1984,39984612.38646391,23873915.858875044
2657,GNQ,1985,34621813.47711348,39984612.38646391
2658,GNQ,1986,33824037.86848054,34621813.47711348
2659,GNQ,1987,30243286.89613368,33824037.86848054
2660,GNQ,1988,30527715.264002603,30243286.89613368
2661,GNQ,1989,29079182.742319617,30527715.264002603
2662,GNQ,1990,27929052.213049464,29079182.742319617
2663,GNQ,1991,26039009.285039425,27929052.213049464
2664,GNQ,1992,36733477.57872442,26039009.285039425
2665,GNQ,1993,39264504.29063239,36733477.57872442
2666,GNQ,1994,39775309.39814758,39264504.29063239
2667,GNQ,1995,39848035.53654679,39775309.39814758
2668,GNQ,1996,42654268.6532792,39848035.53654679
2669,GNQ,1997,100607193.26833947,42654268.6532792
2670,GNQ,1998,241874934.13235283,100607193.26833947
2671,GNQ,1999,158188602.6851519,241874934.13235283
2672,GNQ,2000,190918822.98829728,158188602.6851519
2673,GNQ,2001,400370653.47540766,190918822.98829728
2674,GNQ,2002,753395922.379219,400370653.47540766
