Country_Code,year,GDP_Constant_USD
GNB,1978,446122153.47487485
GNB,1979,455018473.24841887
GNB,1980,382430961.95716774
GNB,1981,451909214.6351424
GNB,1982,470889772.8245264
GNB,1983,454887584.86907727
GNB,1984,496324309.31241107
GNB,1985,517003626.40591574
GNB,1986,512899405.3903842
GNB,1987,527773488.18489945
GNB,1988,552051068.5799217
GNB,1989,585726183.8818381
GNB,1990,621455481.0189816
GNB,1991,653149710.6925471
GNB,1992,660334357.3219895
GNB,1993,674201378.8236552
GNB,1994,695775823.0838834
GNB,1995,726389959.3554679
GNB,1996,810651194.6136868
GNB,1997,863343522.2635764
GNB,1998,620744167.5127902
GNB,1999,627110131.1622928
GNB,2000,661143318.7568178
GNB,2001,675615129.916068
GNB,2002,668959121.5006934
GNB,2003,672762222.1802968
GNB,2004,691339891.5747831
GNB,2005,720833135.3019706
GNB,2006,737479752.961763
GNB,2007,761543388.7985356
GNB,2008,785939943.8301948
GNB,2009,812418063.7206457
GNB,2010,849878424.2259864
GNB,2011,918589222.8313383
GNB,2012,902856701.2635818
GNB,2013,932252851.1084586
GNB,2014,941244996.2101552
GNB,2015,998981744.9569495
GNB,2016,1061546030.0007524
GNB,2017,1124380814.4813068
GNB,2018,1138814903.679358
GNB,2019,1190061574.2482798
GNB,2020,1161500096.4756367
GNQ,1980,164984432.76887196
GNQ,1981,174503078.46021867
GNQ,1982,178345070.76440415
GNQ,1983,187270148.65005976
GNQ,1984,189164164.60819462
GNQ,1985,213576138.40542287
GNQ,1986,208598626.13495502
GNQ,1987,217853599.31773275
GNQ,1988,223638183.5521771
GNQ,1989,220889272.02259746
GNQ,1990,217004792.61929
GNQ,1991,214786485.2629186
GNQ,1992,289414736.9467007
GNQ,1993,321346481.43603045
GNQ,1994,374911197.9460971
GNQ,1995,440469158.7812286
GNQ,1996,733733512.4597299
GNQ,1997,1834135405.1999247
GNQ,1998,2270191603.016733
GNQ,1999,2852813926.5561824
GNQ,2000,3372419177.7208476
GNQ,2001,5509854251.3711605
GNQ,2002,6582228039.936893
GNQ,2003,7500794439.305204
GNQ,2004,10351000830.299994
GNQ,2005,12084658969.024656
GNQ,2006,13015771985.625113
GNQ,2007,15004857087.968853
GNQ,2008,17675587976.364304
GNQ,2009,17913034098.896538
GNQ,2010,16314443428.940796
GNQ,2011,17378785258.887924
GNQ,2012,18823461405.58256
GNQ,2013,18045450380.871258
GNQ,2014,18120350964.37364
GNQ,2015,16469579535.209436
GNQ,2016,15017552686.996748
GNQ,2017,14166432444.382635
GNQ,2018,13282935662.618372
GNQ,2019,12488757320.208065
GNQ,2020,11877637905.307312
GRC,1960,51849033717.35176
GRC,1961,58695097789.72543
GRC,1962,58909223691.87895
GRC,1963,65886943285.984
GRC,1964,72086691596.05048
GRC,1965,79848994120.38998
GRC,1966,85034788917.65486
GRC,1967,89855823916.99382
GRC,1968,96328784887.67703
GRC,1969,107467925077.2895
GRC,1970,116762257868.58778
GRC,1971,125917792342.336
GRC,1972,138711230971.6078
GRC,1973,149936268486.06906
GRC,1974,140283011131.30536
GRC,1975,149214561044.35898
GRC,1976,159438591509.266
GRC,1977,164127683315.1399
GRC,1978,176021792304.4295
GRC,1979,181798968130.96173
GRC,1980,183029984926.854
GRC,1981,180186209846.4907
GRC,1982,178145335358.70157
GRC,1983,176223819935.75656
GRC,1984,179766940646.96704
GRC,1985,184278294966.27863
GRC,1986,185232230081.43372
GRC,1987,181048085889.42883
GRC,1988,188811178001.30835
GRC,1989,195986002005.00433
GRC,1990,195986002005.00433
GRC,1991,202061568631.2486
GRC,1992,203475999489.51666
GRC,1993,200220383069.47076
GRC,1994,204224791444.54962
GRC,1995,208512939399.1256
GRC,1996,214480848721.98267
GRC,1997,224098597283.35992
GRC,1998,232827024326.32947
GRC,1999,239980858998.80798
GRC,2000,249387558620.14877
GRC,2001,259691284860.6267
GRC,2002,269878641296.92828
GRC,2003,285516844564.38776
GRC,2004,299966830441.2179
GRC,2005,301764058224.91205
GRC,2006,318821070560.7085
GRC,2007,329258465338.8138
GRC,2008,328154881905.51965
GRC,2009,314041813704.5283
GRC,2010,296835346570.2229
GRC,2011,266708593492.85614
GRC,2012,247819346907.52933
GRC,2013,241024705255.53488
GRC,2014,242707407847.6961
GRC,2015,241707692301.4882
GRC,2016,240523680188.4925
GRC,2017,243604367215.33066
GRC,2018,247402104860.442
GRC,2019,251995558167.1837
GRC,2020,231211629508.4596
GRD,1977,265671122.377339
GRD,1978,279861685.35734105
GRD,1979,295539770.73990476
GRD,1980,293959271.1887444
GRD,1981,298469157.5787669
GRD,1982,310778806.5740476
GRD,1983,322068079.42139846
GRD,1984,333560966.88564473
GRD,1985,353506939.2619369
GRD,1986,378939196.41616815
GRD,1987,413412905.7657281
GRD,1988,425678005.54757303
GRD,1989,441716406.8153122
GRD,1990,459440771.92993
GRD,1991,465806534.3024477
GRD,1992,461841827.7785425
GRD,1993,452795198.09442085
GRD,1994,460463538.539553
GRD,1995,470268995.16571504
GRD,1996,491140636.96790206
GRD,1997,515773769.1394402
GRD,1998,576395254.5267786
GRD,1999,616157088.2346071
GRD,2000,646274551.7932013
GRD,2001,633194600.876292
GRD,2002,654959547.8799989
GRD,2003,716944745.4736199
GRD,2004,712302884.4528972
GRD,2005,806869556.8773537
GRD,2006,774632469.5769777
GRD,2007,822066708.8742708
GRD,2008,829856141.3460305
GRD,2009,774975419.9351987
GRD,2010,771013259.2592592
GRD,2011,776911332.0028087
GRD,2012,767936889.4271343
GRD,2013,785994301.6135378
GRD,2014,843718324.581439
GRD,2015,898080308.9382235
GRD,2016,931629123.8719046
GRD,2017,973018986.2917472
GRD,2018,1013313189.6588591
GRD,2019,1033392538.9368757
GRD,2020,917334721.3512192
GRL,1970,726460342.6361473
GRL,1971,821342248.1051201
GRL,1972,872078805.6517478
GRL,1973,931432567.5741726
GRL,1974,984582475.6672044
GRL,1975,990945242.8432043
GRL,1976,1049997736.0585489
GRL,1977,1142631846.775652
GRL,1978,1211380773.6870992
GRL,1979,1270261116.7936585
GRL,1980,1380469050.9113376
GRL,1981,1389653029.3765836
GRL,1982,1328235078.6270645
GRL,1983,1374155043.1538172
GRL,1984,1302979095.7306669
GRL,1985,1350621066.7488954
GRL,1986,1446479002.926899
GRL,1987,1526264934.6737492
GRL,1988,1611790880.036575
GRL,1989,1719128819.3796859
GRL,1990,1517654950.3500495
GRL,1991,1515932949.2718825
GRL,1992,1438443004.2140067
GRL,1993,1366119059.049447
GRL,1994,1447053004.0362005
GRL,1995,1501008943.6532059
GRL,1996,1523968937.2521818
GRL,1997,1546354919.0092628
GRL,1998,1666320851.3362129
GRL,1999,1689280827.154566
GRL,2000,1809246741.7008936
GRL,2001,1832206717.5192468
GRL,2002,1814412741.59421
GRL,2003,1894792055.6177871
GRL,2004,2025657438.5234964
GRL,2005,2126686936.5765183
GRL,2006,2244839174.2678823
GRL,2007,2297647623.6197786
GRL,2008,2439323625.113351
GRL,2009,2460447004.85411
GRL,2010,2503156060.5252395
GRL,2011,2490727405.2737327
GRL,2012,2525452961.362707
GRL,2013,2492665493.1455703
GRL,2014,2610871072.7049665
GRL,2015,2544833840.08108
GRL,2016,2663981792.6423783
GRL,2017,2676463789.761917
GRL,2018,2762593126.0112724
GTM,1960,6057355527.69477
GTM,1961,6317732066.444095
